,by,delivery_error,distance_btwn_cones_pix,isPair,lConeNeighbors,masterID1,masterID2,rg,session,subject,trial,type1,type2,x1,x2,y1,y2
16,0,0.190914435311519,0,False,0.5,41,41,0,40,10001R,17,3,3,77,77,94,94
17,0,0.224027903172042,6.70820393249937,True,0.555555555555556,41,16,-1,40,10001R,18,3,2,77,74,94,100
18,0,0.222728424305462,6.70820393249937,True,0.555555555555556,41,16,-0.6,40,10001R,19,3,2,77,74,94,100
19,0,0.185916934808305,12.2065556157337,True,0.5,16,42,-1,40,10001R,20,2,3,74,84,100,93
20,0,0.225029600548434,0,False,0.5,42,42,0,40,10001R,21,3,3,84,84,93,93
21,0,0.19128414222586,6.70820393249937,True,0.555555555555556,41,16,0,40,10001R,22,3,2,77,74,94,100
22,0,0.171908113821785,0,False,0.666666666666667,16,16,-0.6,40,10001R,23,2,2,74,74,100,100
23,0,0.219781671848784,6.70820393249937,True,0.555555555555556,41,16,-1,40,10001R,24,3,2,77,74,94,100
24,0,0.171041899285487,7.07106781186548,True,0.5,41,42,-0.6,40,10001R,25,3,3,77,84,94,93
25,,0.240210865810491,0,False,0.666666666666667,16,16,,40,10001R,26,2,2,74,74,100,100
26,0,0.14839768165901,7.07106781186548,True,0.5,41,42,0,40,10001R,27,3,3,77,84,94,93
27,0,0.187541885811087,0,False,0.5,42,42,-1,40,10001R,28,3,3,84,84,93,93
28,0,0.15361182800983,7.07106781186548,True,0.5,41,42,-0.4,40,10001R,29,3,3,77,84,94,93
29,0,0.13052398596393,0,False,0.666666666666667,16,16,-1,40,10001R,30,2,2,74,74,100,100
30,0,0.151528347728918,7.07106781186548,True,0.5,41,42,-1,40,10001R,31,3,3,77,84,94,93
31,0,0.174743548793779,0,False,0.5,42,42,-1,40,10001R,32,3,3,84,84,93,93
32,0,0.240020776526415,12.2065556157337,True,0.5,16,42,-1,40,10001R,33,2,3,74,84,100,93
33,0,0.200952959764188,7.07106781186548,True,0.5,41,42,-0.6,40,10001R,34,3,3,77,84,94,93
34,0,0.196266077879506,0,False,0.5,41,41,0,40,10001R,35,3,3,77,77,94,94
35,0,0.220123388011223,6.70820393249937,True,0.555555555555556,41,16,0,40,10001R,36,3,2,77,74,94,100
